doc_id,similarity,context,sentiment,confidence
41,0.6799426674842834,"to the ground, no sooner has he left the cell is he forced back by two more guards. he",NEGATIVE,0.9905415177345276
41,0.6307382583618164,"in vain, but is once again locked in his cell. jack gets an idea to escape when he sees",NEGATIVE,0.7287262678146362
41,0.5235805511474609,"to escape when he sees the bed sheet and the cell window. using his pocket knife, he digs",NEGATIVE,0.9930880665779114
41,0.6389331817626953,"knife, he digs out the bar of the cell window and drops to freedom. he struggles and over",POSITIVE,0.8137103319168091
134,0.621450662612915,mothers ' plea inspires the king to visit the cell of the condemned count. the count is found dead,POSITIVE,0.8066754341125488
134,0.5971184372901917,"condemned count. the count is found dead in his cell, and jesus emerges from the count ' s body",POSITIVE,0.9701483845710754
485,0.5810946822166443,"her body and travels to brummel ' s cell. when brummel also dies, their youthful",POSITIVE,0.9909163117408752
655,0.5565152168273926,. alvin escapes prison by filing the bars in his cell and re - establishes himself as a music instructor with,POSITIVE,0.9943694472312927
862,0.6391071081161499,"robbery and killing. bob is placed in the facing cell, and guards frustrate thunderbolt ' s",NEGATIVE,0.9311337471008301
890,0.6524513959884644,"and actually holding 3000, he is placed in a cell with butch ( wallace beery ) and morgan (",NEGATIVE,0.9858600497245789
890,0.5909098982810974,"be paroled. prior to a search of their cell, kent hides the knife in morgan ' s bed",NEGATIVE,0.9900454878807068
1014,0.5678445100784302,and sent to prison for life. he shares a cell with pete for three years. then the warden asks,NEGATIVE,0.9490998983383179
1073,0.5751180648803711,"captured. when anne comes to see him in his cell, she informs him that she found out what joe",POSITIVE,0.979081392288208
1104,0.5818588733673096,##ane from her neck. renfield escapes from his cell and listens to the men discuss vampires. before,POSITIVE,0.993306577205658
1104,0.5738269686698914,". before his attendant takes renfield back to his cell, renfield relates to them how dracula convinced ren",POSITIVE,0.9949744939804077
1178,0.6309099197387695,"their own home brew. they are put in a cell with "" tiger "" long, the roughest,",NEGATIVE,0.9957327246665955
1246,0.6280217170715332,"makes trouble immediately, but several months confined to his cell changes his attitude somewhat. as the warden had predicted",NEGATIVE,0.9353192448616028
1323,0.6156525015830994,"( frances dee ), he is visited in his cell by glidden. john is certain that his",POSITIVE,0.961415708065033
1378,0.5546795129776001,"way in which seymour could have escaped from his nearby cell using a duplicate key ( which is found ),",NEGATIVE,0.998822033405304
1378,0.54579097032547,and hanged him with wire without entering lew ' s cell. at the murder trial of philip seymour and gwen,NEGATIVE,0.9579399228096008
1470,0.6776247024536133,". as punishment, they are locked in a crowded cell for about a month. finally, a new commandant",NEGATIVE,0.9805977940559387
1541,0.5826125144958496,is shot dead as he gets to nan ' s cell to break her out. nan is given another year,NEGATIVE,0.9940699934959412
1666,0.5979912281036377,"##ie ), a fellow prisoner, breaks into his cell through a tunnel he has been digging. the two",NEGATIVE,0.9819492697715759
1805,0.6079856753349304,to jail. the reporters follow him to the jail cell because he has been yelling that alex is involved with,NEGATIVE,0.9929471015930176
1837,0.5668062567710876,"his wedding. meanwhile, lussan escapes his cell and meets secretly with thea, who urges him",POSITIVE,0.9836187958717346
1924,0.6126019954681396,"takes the 41st to battle mohammed khan. from their cell, the captives see the overmatched bengal lance",POSITIVE,0.9680891633033752
